Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-18 04:09:43.949053+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:nifiedPipeline.cpp:2248] virtual bool UnifiedPipeline::start_ios_gated(): Flushed RTPs
2026-09-18 04:09:43.949942+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint8:0x10000067e): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.950327+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:nifiedPipeline.cpp:5166] IOMFB: Could not find Backlight service
2026-09-18 04:09:43.950373+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint8:0x10000067e): Create AFKMailboxEndpointInterface (id:3)
2026-09-18 04:09:43.950568+0300 0x955      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:nifiedPipeline.cpp:5174] IOMFB: Could not find nvram service
2026-09-18 04:09:43.950575+0300 0x955      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:nifiedPipeline.cpp:2214] virtual bool UnifiedPipeline::start_ios_gated(): Created AP Services
2026-09-18 04:09:43.950580+0300 0x955      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:nifiedPipeline.cpp:2241] start_ios_gated: trigger pending HPD notification
2026-09-18 04:09:43.952541+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:nifiedPipeline.cpp:1697] set_device_enabled_gated: current state: 1, requested state: 1
2026-09-18 04:09:43.953608+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint1:0x10000062a): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.954409+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint1:0x10000062a): Create AFKMailboxEndpointInterface (id:3)
2026-09-18 04:09:43.956558+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint10:0x100000680): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.957360+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:nifiedPipeline.cpp:2248] virtual bool UnifiedPipeline::start_ios_gated(): Flushed RTPs
2026-09-18 04:09:43.960462+0300 0x790      Error       0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint1:0x100000677): Interface not found. Packet type:0x32
2026-09-18 04:09:43.960482+0300 0x790      Error       0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint1:0x100000677): Interface not found. Packet type:0x32
2026-09-18 04:09:43.960522+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint1:0x100000677): Create AFKMailboxEndpointInterface (id:5)
